   Depth      Permea    Poro
   3023.50     1.100     9.200
   3024.50    50.000    16.400
   3025.50     5.500    13.800
   3026.50     8.800    14.000
   3027.50     8.500    13.700
   3028.50     7.100    13.800
   3029.50     6.500    14.000
   3030.50     8.100    14.400
   3031.50     1.100     7.100
   3032.50     1.300    10.700
   3036.50     5.500    15.400
   3037.50     0.370    10.600
   3045.50     0.960    11.600
   2951.50    18.200    14.400
   2952.50    31.400    11.700
   2953.50    31.400    16.300
   2954.50    32.800    16.200
   2955.50    11.500    15.300
   2956.50    26.900    15.400
   2957.50    12.800    14.500
   2958.50    21.000    14.300
   2959.50    35.200    15.700
   2960.50     8.070    12.800
   2961.50     2.300    12.000
   2962.50     3.430    11.800
   2963.50     0.300    10.200
   2964.50     0.110     9.800
   2965.50     0.110     9.800
   2966.50     0.080    10.700
   2967.50     0.080    10.900
   2968.50     0.080    10.800
   2969.50     0.080    11.600
   2970.50     0.080    11.700
   2971.50     0.080    12.000
   2972.50     0.080    12.000
   2973.50     0.080    11.000
   2974.50     0.080    11.300
   2975.50     0.080    11.000
   2976.50     0.080    11.100
   2977.50     0.110    11.900
   2978.50     0.080    11.500
   2979.50     0.080    11.100
   2980.50     0.080    10.600
   2981.50     0.110    11.100
   2982.50     0.110    11.000
   2983.50     0.110    11.100
   2984.50     0.110    10.800
   2985.50     0.080    10.100
   2925.00    16.000    16.000
   2926.00    48.000    15.000
   2927.00    62.000    16.000
   2928.00    14.000    18.000
   2929.00    16.000    14.000
   2930.00    10.000    14.000
   2931.00     8.000    15.000
   2932.00    12.000    16.000
   2933.00    48.000    17.000
   2934.00     8.000    16.000
   2935.00     5.000    16.000
   2936.00    25.000    16.000
   2937.00    11.000    16.000
   2938.00    11.000    16.000
   2939.00    30.000    17.000
   2940.00     5.000    17.000
   2941.00    35.000    18.000
   2942.00    29.000    14.000
   2943.00    24.000    16.000
   2944.00    50.000    16.000
   2945.00    19.000    15.000
   2946.00    17.000    16.000
   2947.00    35.000    16.000
   2948.00    68.000    17.000
   2949.00    16.000    18.000
   2950.00   108.000    18.000
   2951.00    24.000    18.000
   2952.00    17.000    15.000
   2953.00    40.000    15.000
   2954.00    44.000    16.000
   2955.00    27.000    15.000
   2956.00    26.000    13.000
   2957.00    12.000    16.000
   2958.00     8.000    17.000
   2959.00    17.000    16.000
   2960.00    82.000    15.000
   2961.00    88.000    18.000
   2962.00    92.000    18.000
   2963.00    41.000    17.000
   2964.00    46.000    18.000
   2965.00    35.000    17.000
   2966.00    10.000    18.000
   2967.00    22.000    18.000
   2931.50   184.000    20.700
   2932.50   105.000    20.900
   2933.50    39.000    17.600
   2934.50    87.000    19.200
   2935.50    87.000    20.200
   2936.50    31.000    19.200
   2937.50    13.000    16.500
   2938.50    65.000    19.000
   2939.50   114.000    19.400
   2940.50   102.000    19.300
   2941.50    14.000    15.300
   2942.50    15.000    14.800
   2943.50     7.700    12.800
   2944.50    49.000    18.000
   2945.50    32.000    16.600
   2946.50    18.000    15.800
   2947.50    21.000    15.600
   2948.50    20.000    15.800
   2949.50    30.000    17.400
   2950.50    22.000    15.600
   2951.50     6.600    14.000
   2952.50     2.300    10.200
   2953.50     3.200    10.100
   2954.50    16.000    15.400
   2955.50     8.500    12.500
   2956.50    15.000    15.800
   2957.50     1.700    10.300
   2959.50     2.700    12.000
   2960.50     0.520    10.800
   2961.50     1.000     9.700
   2962.50    35.000    16.300
   2963.50    17.000    14.600
   2964.50    41.000    16.400
   2965.50    42.000    16.300
   2966.50    18.000    12.300
   2967.50    31.000    16.100
   2968.50    40.000    16.700
   2970.50    17.000    11.700
   2971.50    49.000    15.900
   2972.50    50.000    15.600
   2973.50    13.000    13.900
   2925.50    14.000    11.900
   2926.50    37.000    16.200
   2927.50    14.000    13.400
   2928.50    45.000    15.600
   2929.50    54.000    16.200
   2930.50    19.000    16.300
   2931.50     7.500    11.000
   2932.50    41.000    15.100
   2933.50    26.000    16.000
   2934.50   136.000    18.200
   2935.50   119.000    16.200
   2936.50    28.000    14.900
   2937.50   163.000    18.600
   2938.50    57.000    15.800
   2939.50    37.000    14.500
   2940.50    40.000    16.700
   2941.50     9.200    11.300
   2942.50    34.000    14.300
   2943.50    13.000    12.800
   2944.50    33.000    14.700
   2945.50    22.000    13.700
   2946.50    12.000    12.900
   2947.50     5.600    11.500
   2948.50    57.000    16.500
   2949.50     9.800    12.900
   2951.50    33.000    14.400
   2952.50    18.000    13.800
   2953.50     3.600    10.900
   2954.50    10.000    11.900
   2955.50   109.000    15.600
   2956.50     0.190     9.600
   2957.50     2.100    11.900
   2958.50     9.000    13.300
   2959.50     5.300    12.200
   2960.50    38.000    15.500
   2961.50     2.200    13.800
   2962.50    24.000    13.800
   2963.50     3.700    10.900
   2964.50     1.000    12.000
   2965.50     0.240     9.800
   2966.50     5.300    11.800
   2967.50     2.200    10.400
   2968.50     4.700    11.600
   2969.50     1.900     9.500
   2970.50     7.000    10.800
   2971.50     2.900     9.900
   2972.50     5.400    11.000
   2973.50    33.000    14.600
   2974.50     7.800    10.700
   2975.50     2.100     9.100
   2976.50     0.190     8.600
   2979.50     1.100    10.700
   2980.50     0.260    11.200
   2981.50     2.100    10.800
   2982.50     0.480    10.600
   2983.50     0.220    10.300
   2984.50     0.460    10.800
   2986.50     5.000    10.100
   2987.50     0.670    10.800
   2988.50     1.200     9.100
   2989.50     0.450    11.100
   2991.50     4.500    12.800
   2992.50     1.700    11.600
   2993.50     1.000    10.500
   2994.50     2.100    11.100
   2966.50   123.000    18.600
   2967.50   176.000    18.200
   2968.50   142.000    19.200
   2969.50     1.400    10.000
   2970.50     3.500    12.600
   2971.50    37.000    16.000
   2972.50    51.000    16.300
   2973.50    30.000    15.000
   2974.50    28.000    14.300
   2975.50    32.000    15.600
   2976.50    47.000    15.900
   2977.50    19.000    13.600
   2978.50    15.000    13.000
   2979.50    17.000    13.600
   2980.50    33.000    13.600
   2981.50    18.000    13.300
   2982.50     1.900    12.100
   2985.50     6.300    12.200
   2986.50    18.000    14.100
   2987.50     7.400    12.900
   2988.50     5.800    12.000
   2989.50     5.400    12.400
   2990.50    12.000    14.500
   2991.50     2.400     9.800
   2992.50     9.000    13.300
   2993.50     1.500    10.900
   2994.50     1.500     9.000
   2995.50     2.000     9.800
   2996.50    12.000    13.000
   2997.50     2.100     7.900
   2998.50    21.000    13.200
   2999.50    33.000    13.800
   3000.50     9.400    12.100
   2945.50    20.000    16.000
   2947.50     1.700     8.000
   2948.50    45.000    16.900
   2949.50    64.000    15.400
   2950.50     4.200    10.400
   2951.50    11.000    12.000
   2952.50    39.000    15.300
   2953.50    36.000    14.900
   2954.50    12.000    12.300
   2955.50    22.000    14.100
   2956.50     6.900    11.200
   2957.50     6.200    11.800
   2958.50    12.000    12.200
   2959.50    13.000    13.100
   2960.50     3.300    12.900
   2961.50     1.500    11.700
   2962.50    26.000    15.300
   2963.50    15.000    14.100
   2964.50    12.000    13.200
   2965.50     7.500    12.100
   2966.50     3.100    11.000
   2967.50     9.800    12.800
   2968.50    11.000    12.700
   2969.50    11.000    13.300
   2970.50    11.000    12.000
   2971.50     8.300    13.800
   2964.50    29.000    16.800
   2965.50    22.000    16.700
   2966.50    20.000    16.300
   2967.50    22.000    17.000
   2968.50    20.000    16.800
   2969.50    17.000    15.900
   2970.50    18.000    14.100
   2971.50    37.000    16.000
   2972.50    19.000    16.300
   2973.50    31.000    17.800
   2974.50    32.000    18.000
   2975.50    26.000    18.000
   2976.50    22.000    17.700
   2977.50     3.200    12.800
   2978.50    31.000    16.900
   2979.50    57.000    18.600
   2980.50    19.000    17.800
   2981.50    27.000    14.100
   2982.50    31.000    17.300
   2983.50     2.700    12.100
   2984.50    31.000    14.800
   2945.50    64.500    17.400
   2946.50     3.510    15.400
   2947.50    24.400    17.000
   2948.50    32.800    16.300
   2949.50    30.000    15.800
   2950.50    32.800    15.500
   2951.50    18.300    15.000
   2952.50     1.090    11.700
   2953.50    30.000    16.300
   2954.50     5.510    12.800
   2955.50     7.590    13.800
   2956.50    19.800    14.300
   2957.50     4.160    12.100
   2958.50     4.230    11.300
   2959.50     2.600    12.700
   2960.50    22.000    15.200
   2961.50    11.400    14.300
   2962.50     1.420    12.000
   2963.50     4.390    13.600
   2964.50     1.600    11.800
   2965.50     4.950    12.700
   2966.50     2.390    11.300
   2932.50    15.000    18.600
   2933.50    27.000    19.200
   2934.50     5.300    16.300
   2935.50    15.000    17.800
   2936.50    26.000    18.200
   2937.50    22.000    17.600
   2938.50    31.000    18.200
   2939.50    20.000    17.300
   2940.50    29.000    17.800
   2941.50    26.000    17.100
   2942.50    23.000    16.800
   2943.50    22.000    16.500
   2944.50    16.000    16.300
   2945.50    57.000    15.800
   2946.50    21.000    16.200
   2947.50    69.000    19.400
   2948.50     0.010     0.100
   2949.50    39.000    18.500
   2950.50    72.000    18.400
   2951.50    17.000    15.800
   2952.50    33.000    17.700
   2953.50    59.000    19.500
   2954.50    43.000    17.800
   2955.50   410.000    22.000
   2956.50    77.000    19.000
   2957.50   108.000    19.100
   2958.50   445.000    23.400
   2959.50    48.000    17.800
   2960.50    40.000    17.700
   2961.50     0.510    13.300
