Lease,OSPREY,FALCON,HAWK,EAGLE,KITE,SWIFT,SPARROW,LARK,CARDINAL,JAY,CROW,LORIKEET,MYNAH,PARTRIDGE,CASSOWARY,ORIOLE,WARBLER,HARPY,BEE-EATER,LOON,CUCKOO,ROOSTER,ARCHAEOPTERYX,TERN,STILT,AVOCET,OSTRICH,EMU,DUCK,HERON,STORK,SWAN,PARROT,CRANE,IBIS,EGRET,PHEASANT,MACAW,FLAMINGO,PEACOCK,PENGUIN,ALBATROSS,PELICAN,OWL,FINCH,ROBIN,BLUEBIRD,CANARY,SEAGULL,HUMMINGBIRD,PHOENIX,TOUCAN,GOOSE
Well Number,1,2,3,4,5,6,7,8,9,10,11,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
State,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,LA,LA,LA,LA,LA,LA,LA,LA,LA,LA,LA,LA,LA,LA,LA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA
Formation/Reservoir,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,EAGLE FORD,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,BOSSIER SHALE ,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,HAYNESVILLE SHALE,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER,MARCELLUS - UPPER
 Configuration , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config , Initial Config 
Production Path,Casing,Tubing,Tubing,Tubing,Tubing,Tubing,Tubing,Tubing,Tubing,Tubing,Tubing,Casing,Casing,Casing,Tubing,Casing,Casing,Casing,Casing,Casing,Casing,Tubing,Casing,Casing,Casing,Casing,Tubing,Casing,Casing,Casing,Casing,Casing,Casing,Tubing,Tubing,Tubing,Casing,Casing,Casing,Casing,Casing,Tubing,Casing,Casing,Tubing,Tubing,Casing,Casing,Casing,Casing,Casing,Casing,Tubing
Pressure Loss Correlation,Beggs & Brill,Beggs & Brill,Beggs & Brill,Beggs & Brill,Beggs & Brill,Beggs & Brill,Beggs & Brill,Beggs & Brill,Beggs & Brill,Beggs & Brill,Beggs & Brill,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray
 Tubing ID (in) ,,1.995,1.995,2.441,2.441,2.441,2.441,2.441,2.441,2.441,1.995,,,,2.323,,,,,,,2.992,,,,,2.441,,,,,,,1.995,1.995,2.441,,,,,,1.995,,,2.441,2.441,,,,,,,1.995
 Tubing OD (in) ,,2.375,2.375,2.875,2.875,2.875,2.875,2.875,2.875,2.875,2.375,,,,2.875,,,,,,,3.5,,,,,2.875,,,,,,,2.375,2.375,2.875,,,,,,2.375,,,2.875,2.875,,,,,,,2.375
 Tubing Depth (ft) ,,7595,7325,7500,8332,7626,7682,8174,8211,8050,8000,,,,11968,,,,,,,12136,,,,,5172,,,,,,,7804,8111,7299,,,,,,7839,,,7381.5,7357.9,,,,,,,7699
 Casing ID 1 (in) ,4,4.778,4.778,4.778,4.67,4.67,4.67,4.67,4.67,4.67,4.778,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.548,4.67,4.67,4.67,4.67,4.67,4.778,4.778,4.778,4.778,4.778,4.778,4.778,4.778,4.778,4.778,4.778,4.778,4.778,4.778,4.778,4.778,4.778,4.778,4.778,4.778,4.778,4.778,4.778,4.778,4.778,4.778,4.778
 Casing Footage 1 (ft) ,13965,7499,7549,15493,8384,7693,7559,7975,8031,7905,7940,15800,11134,11005,16792,11770,11708,11819,11477,11585,22313,18551,11514,11421,11468,11576,11238,14664,18684,15088,13232,17821,17389,16200,15803,13274,12831,17331,17140,20088,20263,10136,14226,14504,13419,12649,14174,14491,18211,17841,14450,14155,12442
 Casing ID 2 (in) ,,4.276,4.276,,4.276,4.276,4.276,4.276,4.276,4.276,4.276,,4.28,4.28,,4.28,4.28,4.28,4.276,4.276,,,4.28,4.28,4.276,4.276,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Casing Footage 2 (ft) ,,10541,11060,,6138,8509,8531,8225,8259,8302,11276,,12087,11880,,11136,10138,10784,10340,10161,,,10862,10885,11038,10620,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Casing Depth (ft) ,13965,18040,18609,15493,14522,16202,16090,16200,16290,16207,19216,15800,23220.8,22885.2,,22905,21846,22602,21817.6,21746.4,22313,18551,22376,22306,22505,22196,11238,14664,18684,15088,13232,17821,17389,16200,15803,13274,12831,17331,17140,20088,20263,10136,14226,14504,13419,12649,14174,14491,18211,17841,14450,14155,12442
 Configuration Change (Days Since First Prod) ,64,61,40,205,111,144,156,122,119,132,24,50,,,,429,429,431,,,426,,,,,,,236,,,,,,,,,,,,,,,421,424,,,381,381,,,306,305,
Production Path,Pumping,Gas Lift,Gas Lift,Gas Lift,Gas Lift,Gas Lift,Gas Lift,Gas Lift,Gas Lift,Gas Lift,Gas Lift,Tubing,,,,Tubing,Tubing,Tubing,,,Tubing,,,,,,,Tubing,,,,,,,,,,,,,,,Tubing,Tubing,,,Tubing,Tubing,,,Tubing,Tubing,
Pressure Loss Correlation,Beggs & Brill,Beggs & Brill,Beggs & Brill,Beggs & Brill,Beggs & Brill,Beggs & Brill,Beggs & Brill,Beggs & Brill,Beggs & Brill,Beggs & Brill,Beggs & Brill,Gray,,,,Gray,Gray,Gray,,,Gray,,,,,,,Gray,,,,,,,,,,,,,,,Gray,Gray,,,Gray,Gray,,,Gray,Gray,
 Tubing ID (in) ,2.441,1.995,1.995,2.441,2.441,2.441,2.441,2.441,2.441,2.441,1.995,1.995,,,,1.995,1.995,1.995,,,1.995,,,,,,,2.44,,,,,,,,,,,,,,,1.995,1.995,,,2.441,2.441,,,2.323,2.323,
 Tubing OD (in) ,2.875,2.375,2.375,2.875,2.875,2.875,2.875,2.875,2.875,2.875,2.375,2.375,,,,2.375,2.375,2.375,,,2.375,,,,,,,2.875,,,,,,,,,,,,,,,2.375,2.375,,,2.875,2.875,,,2.875,2.875,
 Tubing Depth (ft) ,7022,7595,7325,7500,8332,7626,7682,8174,8211,8050,8000,11225,,,,12707,12707,13077,,,12577,,,,,,,8574,,,,,,,,,,,,,,,7656.9,7868.2,,,7603.86,6724.5,,,7571.3,7552.61,
 Casing ID 1 (in) ,6.276,4.778,4.778,4.778,4.67,4.67,4.67,4.67,4.67,4.67,4.778,4.67,,,,4.67,4.67,4.67,,,4.548,,,,,,,4.778,,,,,,,,,,,,,,,4.778,4.778,,,4.778,4.778,,,4.778,4.778,
 Casing Footage 1 (ft) ,7029,7499,7549,15493,8384,7693,7559,7975,8031,7905,7940,15800,,,,11770,11708,11819,,,22313,,,,,,,14664,,,,,,,,,,,,,,,14226,14504,,,14174,14491,,,14450,14155,
 Casing ID 2 (in) ,4,4.276,4.276,,4.276,4.276,4.276,4.276,4.276,4.276,4.276,,,,,4.28,4.28,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Casing Footage 2 (ft) ,6936,10541,11060,,6138,8509,8531,8225,8259,8302,11276,,,,,11136,10138,10784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Casing Depth (ft) ,13965,18040,18609,15493,14522,16202,16090,16200,16290,16207,19216,15800,,,,22905,21846,22602,,,22313,,,,,,,14664,,,,,,,,,,,,,,,14226,14504,,,14174,14491,,,14450,14155,
 Configuration Change (Days Since First Prod) ,1101,123,125,,,896,887,438,486,480,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production Path,Tubing,Tubing,Tubing,,,Pumping,Pumping,Pumping,Pumping,Pumping,Tubing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pressure Loss Correlation,Beggs & Brill,Beggs & Brill,Beggs & Brill,,,Beggs & Brill,Beggs & Brill,Beggs & Brill,Beggs & Brill,Beggs & Brill,Beggs & Brill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Tubing ID (in) ,2.441,1.995,1.995,,,2.441,2.441,2.441,2.441,2.441,1.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Tubing OD (in) ,2.875,2.375,2.375,,,2.875,2.875,2.875,2.875,2.875,2.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Tubing Depth (ft) ,6764,7595,7325,,,7626,7682,8174,8211,8050,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Casing ID 1 (in) ,4.67,4.778,4.778,,,4.67,4.67,4.67,4.67,4.67,4.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Casing Footage 1 (ft) ,6941,7499,7549,,,7693,7559,7975,8031,7905,7940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Casing ID 2 (in) ,2.992,4.276,4.276,,,4.276,4.276,4.276,4.276,4.276,4.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
