x,y,tvd,md,well
456999.6674,6782708.885,1522.685491,1530.815992,A10
456999.7694,6782708.867,1522.797694,1530.968592,A10
456999.8712,6782708.85,1522.90968,1531.120892,A10
456999.973,6782708.833,1523.021742,1531.273292,A10
457000.0748,6782708.816,1523.133733,1531.425592,A10
457000.1766,6782708.799,1523.245725,1531.577891,A10
457000.2785,6782708.781,1523.357943,1531.730492,A10
457000.3804,6782708.764,1523.470016,1531.882892,A10
457000.4821,6782708.747,1523.582018,1532.035192,A10
457000.5839,6782708.73,1523.694096,1532.187592,A10
457000.6859,6782708.712,1523.806324,1532.340192,A10
457000.7876,6782708.695,1523.918334,1532.492492,A10
457000.8894,6782708.678,1524.030346,1532.644792,A10
457000.9912,6782708.661,1524.142435,1532.797192,A10
457001.0931,6782708.644,1524.254674,1532.949792,A10
457001.1949,6782708.626,1524.366695,1533.102092,A10
457001.2967,6782708.609,1524.478792,1533.254492,A10
457001.3984,6782708.592,1524.590818,1533.406792,A10
457001.5001,6782708.575,1524.702846,1533.559092,A10
457001.6021,6782708.557,1524.815099,1533.711692,A10
457001.7039,6782708.54,1524.927207,1533.864092,A10
457001.8056,6782708.523,1525.039244,1534.016392,A10
457001.9074,6782708.506,1525.151358,1534.168792,A10
457002.0093,6782708.489,1525.263622,1534.321392,A10
457002.111,6782708.471,1525.375668,1534.473692,A10
457002.2127,6782708.454,1525.487717,1534.625992,A10
457002.3145,6782708.437,1525.599842,1534.778392,A10
457002.4164,6782708.42,1525.712115,1534.930991,A10
457002.5181,6782708.403,1525.824173,1535.083292,A10
457002.6198,6782708.385,1525.936306,1535.235692,A10
457002.7215,6782708.368,1526.048368,1535.387992,A10
457002.8232,6782708.351,1526.160433,1535.540292,A10
457002.9251,6782708.334,1526.272721,1535.692892,A10
457003.0268,6782708.317,1526.384865,1535.845292,A10
457003.1285,6782708.299,1526.496938,1535.997592,A10
457003.2303,6782708.282,1526.609086,1536.149991,A10
457003.3322,6782708.265,1526.721385,1536.302591,A10
457003.4338,6782708.248,1526.833467,1536.454892,A10
457003.5355,6782708.23,1526.945551,1536.607192,A10
457003.6372,6782708.213,1527.057711,1536.759592,A10
457003.7391,6782708.196,1527.17002,1536.912191,A10
457003.8408,6782708.179,1527.282113,1537.064492,A10
457003.9425,6782708.162,1527.394282,1537.216892,A10
457004.0441,6782708.144,1527.50638,1537.369192,A10
457004.1458,6782708.127,1527.618481,1537.521492,A10
457004.2476,6782708.11,1527.730805,1537.674092,A10
457004.3493,6782708.093,1527.842985,1537.826492,A10
457004.451,6782708.076,1527.955094,1537.978792,A10
457004.5527,6782708.058,1528.067279,1538.131192,A10
