depth,poro,perm,well
1617.129,0.248904,102.6018,A10
1617.629,0.228035,63.417328,A10
1618.129,0.229447,38.417946,A10
1618.629,0.237973,37.260063,A10
1619.129,0.234944,105.85185,A10
1619.629,0.228227,258.85129,A10
1620.129,0.258425,499.61807,A10
1620.629,0.300409,829.22485,A10
1621.129,0.277466,939.38092,A10
1621.629,0.233792,731.65253,A10
1622.129,0.235359,483.31393,A10
1622.629,0.251371,282.89584,A10
1623.129,0.252844,152.26144,A10
1623.629,0.249674,98.391373,A10
1624.129,0.245473,92.71479,A10
1624.629,0.240942,126.10935,A10
1625.129,0.250809,164.1568,A10
1625.629,0.265274,195.86777,A10
1626.129,0.256037,214.29126,A10
1626.629,0.239232,217.20789,A10
1627.129,0.236723,202.55807,A10
1627.629,0.238779,169.68427,A10
1628.129,0.242044,135.5504,A10
1628.629,0.245695,105.57289,A10
1629.129,0.248053,86.681625,A10
1629.629,0.249997,81.089233,A10
1630.129,0.249793,96.575645,A10
1630.629,0.248904,135.62488,A10
1631.129,0.257504,171.01938,A10
1631.629,0.269133,194.06885,A10
1632.129,0.257039,182.35219,A10
1632.629,0.23737,128.71059,A10
1633.129,0.227704,86.903015,A10
1633.629,0.221231,74.094116,A10
1634.129,0.226827,72.827553,A10
1634.629,0.236276,77.529678,A10
1635.129,0.249494,77.596001,A10
1635.629,0.263914,69.640617,A10
1636.129,0.255434,67.915565,A10
1636.629,0.239642,76.971375,A10
1637.129,0.239361,89.936089,A10
1637.629,0.244032,104.61554,A10
1638.129,0.254742,112.35621,A10
1638.629,0.26738,110.39515,A10
1639.129,0.271121,101.196,A10
1639.629,0.27202,85.545364,A10
1640.129,0.267621,67.975677,A10
1640.629,0.26153,49.934074,A10
1641.129,0.251212,42.983341,A10
1641.629,0.239544,50.81535,A10
1642.129,0.240895,57.538219,A10
1642.629,0.246402,58.077854,A10
1643.129,0.240998,54.585629,A10
1643.629,0.232109,47.748444,A10
1644.129,0.227347,42.286514,A10
1644.629,0.223902,39.706955,A10
1645.129,0.222631,36.931187,A10
1645.629,0.222055,32.97625,A10
1646.129,0.223173,28.478994,A10
1646.629,0.224832,23.642763,A10
1647.129,0.2356,25.461636,A10
1647.629,0.249276,36.168743,A10
1648.129,0.251636,47.235439,A10
1648.629,0.250383,55.938633,A10
1649.129,0.238634,62.562721,A10
1649.629,0.223534,67.198509,A10
1650.129,0.224763,81.392075,A10
1650.629,0.231207,108.82997,A10
1651.129,0.230862,131.32967,A10
1651.629,0.228349,143.08566,A10
1652.129,0.233629,143.52852,A10
1652.629,0.241398,132.47638,A10
1653.129,0.241812,144.04172,A10
1653.629,0.239877,189.11623,A10
1654.129,0.241712,220.34158,A10
1654.629,0.24475,222.59676,A10
1655.129,0.239839,187.94176,A10
1655.629,0.23239,113.84142,A10
1656.129,0.229911,66.203278,A10
1656.629,0.229018,66.070877,A10
1657.129,0.231577,74.768044,A10
1657.629,0.235237,79.945869,A10
1658.129,0.238246,74.48629,A10
1658.629,0.241046,56.116573,A10
1659.129,0.244336,53.308186,A10
1659.629,0.247782,75.151749,A10
1660.129,0.248127,99.025352,A10
1660.629,0.247482,117.70606,A10
1661.129,0.264243,121.68188,A10
1661.629,0.286562,107.91573,A10
1662.129,0.278651,103.34006,A10
1662.629,0.261089,116.5541,A10
1663.129,0.240923,133.32066,A10
1663.629,0.219925,149.09399,A10
1664.129,0.239649,155.34982,A10
1664.629,0.272376,149.36642,A10
1665.129,0.273445,134.85416,A10
1665.629,0.264406,112.99769,A10
1666.129,0.259236,91.797226,A10
1666.629,0.255303,73.807137,A10
1667.129,0.247414,69.434929,A10
1667.629,0.238262,82.003593,A10
1668.129,0.234478,94.831306,A10
1668.629,0.232407,102.59173,A10
1669.129,0.250959,105.76813,A10
1669.629,0.276096,104.51481,A10
1670.129,0.256376,94.528969,A10
1670.629,0.222335,74.436768,A10
1671.129,0.232887,64.759415,A10
1671.629,0.257677,72.049072,A10
1672.129,0.273417,87.10688,A10
1672.629,0.286269,106.99573,A10
1673.129,0.277023,112.7551,A10
1673.629,0.260723,98.331123,A10
1674.129,0.246179,91.622299,A10
1674.629,0.232195,101.53633,A10
1675.129,0.239546,120.27852,A10
1675.629,0.253708,145.36012,A10
1676.129,0.255739,146.40858,A10
1676.629,0.253897,113.7263,A10
1677.129,0.250695,80.259087,A10
1677.629,0.247059,56.526157,A10
1678.129,0.254338,40.924129,A10
1678.629,0.265102,32.941055,A10
1679.129,0.257454,32.802189,A10
1679.629,0.243928,40.579445,A10
1680.129,0.25041,56.109688,A10
1680.629,0.263282,79.340836,A10
1681.129,0.26414,109.59166,A10
1681.629,0.261162,146.64462,A10
1682.129,0.24457,158.73456,A10
1682.629,0.223632,135.71918,A10
1683.129,0.219915,110.63659,A10
1683.629,0.221695,94.035545,A10
1684.129,0.240574,86.473907,A10
1684.629,0.264913,88.129799,A10
1685.129,0.251576,86.843285,A10
1685.629,0.226211,78.731796,A10
1686.129,0.229915,72.0196,A10
1686.629,0.2429,69.332588,A10
1687.129,0.238568,71.965263,A10
1687.629,0.228706,80.330917,A10
1688.129,0.223921,83.418983,A10
1688.629,0.220758,77.713882,A10
1689.129,0.245396,78.943153,A10
1689.629,0.278911,92.128426,A10
1690.129,0.290788,123.89097,A10
1690.629,0.295756,176.34486,A10
1691.129,0.272068,202.37013,A10
1691.629,0.23923,186.92192,A10
1692.129,0.241386,172.77092,A10
1692.629,0.254714,173.57336,A10
1693.129,0.246461,210.71265,A10
1693.629,0.231318,291.01624,A10
1694.129,0.234822,317.47507,A10
1694.629,0.24428,259.1152,A10
1695.129,0.248608,180.62267,A10
1695.629,0.251299,102.65093,A10
1696.129,0.250712,62.95599,A10
1696.629,0.249078,73.592903,A10
1697.129,0.25032,81.770058,A10
1697.629,0.252479,70.631653,A10
1698.129,0.251756,53.782455,A10
1698.629,0.250113,35.566307,A10
1699.129,0.244301,28.179132,A10
1699.629,0.237158,35.514957,A10
1700.129,0.235146,50.358688,A10
1700.629,0.234772,70.406616,A10
1701.129,0.250475,93.999901,A10
1701.629,0.27131,120.60889,A10
1702.129,0.289711,150.96791,A10
1702.629,0.307333,185.31145,A10
1703.129,0.288515,193.58311,A10
1703.629,0.258061,166.18628,A10
1704.129,0.240236,122.39824,A10
1704.629,0.226443,68.374046,A10
1705.129,0.238947,46.132118,A10
1705.629,0.259847,69.08847,A10
1706.129,0.253468,96.813454,A10
1706.629,0.238379,116.39833,A10
1707.129,0.241697,130.29665,A10
1707.629,0.250893,139.29181,A10
1708.129,0.24919,147.85658,A10
1708.629,0.244006,157.41904,A10
1709.129,0.254925,156.35751,A10
1709.629,0.270984,140.96133,A10
1710.129,0.259231,115.23297,A10
1710.629,0.238598,80.45031,A10
1711.129,0.227528,69.63916,A10
1711.629,0.219512,93.344292,A10
1712.129,0.234447,111.19442,A10
1712.629,0.256709,110.29945,A10
1713.129,0.255038,91.914703,A10
1713.629,0.245724,56.441006,A10
1714.129,0.249493,33.956963,A10
1714.629,0.257439,34.066345,A10
1715.129,0.240254,42.026077,A10
1715.629,0.215044,53.128845,A10
1716.129,0.21659,67.610352,A10
1716.629,0.226679,85.54586,A10
1717.129,0.230233,93.030731,A10
1717.629,0.231701,85.625397,A10
1718.129,0.238506,79.169167,A10
1718.629,0.247015,78.719398,A10
1719.129,0.253097,86.605453,A10
1719.629,0.258405,103.57109,A10
1720.129,0.255256,115.42469,A10
1720.629,0.249406,117.63501,A10
1721.129,0.246972,114.53714,A10
1721.629,0.24563,107.51524,A10
1722.129,0.251054,95.953735,A10
1722.629,0.258639,79.656113,A10
1723.129,0.239584,64.007118,A10
1723.629,0.212022,50.726032,A10
1724.129,0.227839,43.156128,A10
1724.629,0.257505,42.364864,A10
1725.129,0.25714,52.975677,A10
1725.629,0.247186,76.464767,A10
1726.129,0.248865,99.238007,A10
1726.629,0.254258,116.95491,A10
1727.129,0.254885,130.1545,A10
